# out of simlation
9.999999999999999547e-08 3.666666666666666526e-13 2.461331702199309746e-01
9.999999999999999547e-08 3.762626262626262836e-13 2.398465003779935156e-01
9.999999999999999547e-08 3.858585858585858642e-13 2.338792988604668222e-01
9.999999999999999547e-08 3.954545454545454448e-13 2.281404684792811277e-01
9.999999999999999547e-08 4.050505050505050758e-13 2.227527614250064125e-01
9.999999999999999547e-08 4.146464646464646564e-13 2.177373248634923986e-01
9.999999999999999547e-08 4.242424242424242370e-13 2.128510654121085754e-01
9.999999999999999547e-08 4.338383838383838175e-13 2.081338137414631695e-01
9.999999999999999547e-08 4.434343434343434486e-13 2.035532368273378079e-01
9.999999999999999547e-08 4.530303030303030291e-13 1.992644063024439083e-01
9.999999999999999547e-08 4.626262626262626602e-13 1.951084880338377903e-01
9.999999999999999547e-08 4.722222222222222408e-13 1.912115177150417178e-01
9.999999999999999547e-08 4.818181818181818213e-13 1.874355001056939307e-01
9.999999999999999547e-08 4.914141414141414019e-13 1.837656490038793167e-01
9.999999999999999547e-08 5.010101010101010835e-13 1.803056737098775453e-01
9.999999999999999547e-08 5.106060606060606640e-13 1.768414162503314235e-01
9.999999999999999547e-08 5.202020202020202446e-13 1.735901279621409055e-01
9.999999999999999547e-08 5.297979797979798252e-13 1.705370189779491230e-01
9.999999999999999547e-08 5.393939393939394057e-13 1.674618271202464037e-01
9.999999999999999547e-08 5.489898989898989863e-13 1.645742574247174017e-01
9.999999999999999547e-08 5.585858585858585669e-13 1.617620995482607626e-01
9.999999999999999547e-08 5.681818181818181474e-13 1.590280221606434341e-01
9.999999999999999547e-08 5.777777777777778290e-13 1.563613986127315170e-01
9.999999999999999547e-08 5.873737373737374096e-13 1.538644516568236920e-01
9.999999999999999547e-08 5.969696969696969901e-13 1.513342087170369554e-01
9.999999999999999547e-08 6.065656565656565707e-13 1.490266524557007921e-01
9.999999999999999547e-08 6.161616161616161513e-13 1.466358777462595797e-01
9.999999999999999547e-08 6.257575757575757318e-13 1.444683666074253192e-01
9.999999999999999547e-08 6.353535353535354134e-13 1.422543981131657864e-01
9.999999999999999547e-08 6.449494949494949939e-13 1.401881739203407196e-01
9.999999999999999547e-08 6.545454545454545745e-13 1.381092571042310257e-01
9.999999999999999547e-08 6.641414141414141551e-13 1.361282756637300639e-01
9.999999999999999547e-08 6.737373737373737357e-13 1.342099699177158045e-01
9.999999999999999547e-08 6.833333333333333162e-13 1.323232887510713551e-01
9.999999999999999547e-08 6.929292929292928968e-13 1.304961962994926339e-01
9.999999999999999547e-08 7.025252525252525783e-13 1.286914659470974609e-01
9.999999999999999547e-08 7.121212121212121589e-13 1.269975379948435068e-01
9.999999999999999547e-08 7.217171717171717395e-13 1.252957198910288339e-01
9.999999999999999547e-08 7.313131313131313200e-13 1.236787656475110964e-01
9.999999999999999547e-08 7.409090909090909006e-13 1.220912233735704649e-01
9.999999999999999547e-08 7.505050505050504812e-13 1.204969225058642873e-01
9.999999999999999547e-08 7.601010101010101627e-13 1.189855585695110129e-01
9.999999999999999547e-08 7.696969696969697433e-13 1.175542523327878786e-01
9.999999999999999547e-08 7.792929292929293239e-13 1.161086897817558972e-01
9.999999999999999547e-08 7.888888888888889044e-13 1.147044668800874800e-01
9.999999999999999547e-08 7.984848484848484850e-13 1.133207057222853920e-01
9.999999999999999547e-08 8.080808080808080656e-13 1.119555877256201981e-01
9.999999999999999547e-08 8.176767676767676461e-13 1.106779541763544539e-01
9.999999999999999547e-08 8.272727272727273277e-13 1.094107712323787035e-01
9.999999999999999547e-08 8.368686868686869083e-13 1.081399576269695129e-01
9.999999999999999547e-08 8.464646464646464888e-13 1.069346262969702449e-01
9.999999999999999547e-08 8.560606060606060694e-13 1.057170987635613207e-01
9.999999999999999547e-08 8.656565656565656500e-13 1.045621021693668440e-01
9.999999999999999547e-08 8.752525252525252305e-13 1.034272221922620111e-01
9.999999999999999547e-08 8.848484848484849121e-13 1.023134208825784708e-01
