# out of simlation
1.393939393939393812e-07 9.797979797979798010e-14 1.357802389875800610e+09
1.393939393939393812e-07 1.075757575757575859e-13 1.300485706122586250e+09
1.393939393939393812e-07 1.171717171717171791e-13 1.244017075343271732e+09
1.393939393939393812e-07 1.267676767676767849e-13 1.196409135980907917e+09
1.393939393939393812e-07 1.363636363636363655e-13 1.151520814776222229e+09
1.393939393939393812e-07 1.459595959595959461e-13 1.113270701332750797e+09
1.393939393939393812e-07 1.555555555555555771e-13 1.078734475050839663e+09
1.393939393939393812e-07 1.651515151515151577e-13 1.047648947076519847e+09
1.393939393939393812e-07 1.747474747474747382e-13 1.017733147342061520e+09
1.393939393939393812e-07 1.843434343434343693e-13 9.909756138552293777e+08
1.393939393939393812e-07 1.939393939393939499e-13 9.659141863161964417e+08
1.393939393939393812e-07 2.035353535353535304e-13 9.427828103729350567e+08
1.393939393939393812e-07 2.131313131313131615e-13 9.212890539654796124e+08
1.393939393939393812e-07 2.227272727272727421e-13 9.009942690038822889e+08
1.393939393939393812e-07 2.323232323232323226e-13 8.821324011361153126e+08
1.393939393939393812e-07 2.419191919191919032e-13 8.644402615082098246e+08
1.393939393939393812e-07 2.515151515151515343e-13 8.475376884422109127e+08
1.393939393939393812e-07 2.611111111111111148e-13 8.317609788070788383e+08
1.393939393939393812e-07 2.707070707070706954e-13 8.167592141308548450e+08
1.393939393939393812e-07 2.803030303030303265e-13 8.026932320465202332e+08
1.393939393939393812e-07 2.898989898989899070e-13 7.891682492731213570e+08
1.393939393939393812e-07 2.994949494949494876e-13 7.764766978706239462e+08
1.393939393939393812e-07 3.090909090909090682e-13 7.642969025730658770e+08
1.393939393939393812e-07 3.186868686868686992e-13 7.526288633804472685e+08
1.393939393939393812e-07 3.282828282828282798e-13 7.416480395287473202e+08
1.393939393939393812e-07 3.378787878787878604e-13 7.310619989580006599e+08
1.393939393939393812e-07 3.474747474747474914e-13 7.208268768592123985e+08
1.393939393939393812e-07 3.570707070707070720e-13 7.110450244533704519e+08
1.393939393939393812e-07 3.666666666666666526e-13 7.016140905194870234e+08
1.393939393939393812e-07 3.762626262626262836e-13 6.927972639115308523e+08
1.393939393939393812e-07 3.858585858585858642e-13 6.840681669215643406e+08
1.393939393939393812e-07 3.954545454545454448e-13 6.757484748155493736e+08
1.393939393939393812e-07 4.050505050505050758e-13 6.674287827095341682e+08
1.393939393939393812e-07 4.146464646464646564e-13 6.599279003714222908e+08
1.393939393939393812e-07 4.242424242424242370e-13 6.520614779583536386e+08
1.393939393939393812e-07 4.338383838383838175e-13 6.451162165341758728e+08
1.393939393939393812e-07 4.434343434343434486e-13 6.378931446530309916e+08
1.393939393939393812e-07 4.530303030303030291e-13 6.312841800978134871e+08
1.393939393939393812e-07 4.626262626262626602e-13 6.247483235575871468e+08
1.393939393939393812e-07 4.722222222222222408e-13 6.179931429723870754e+08
1.393939393939393812e-07 4.818181818181818213e-13 6.117058536831313372e+08
1.393939393939393812e-07 4.914141414141414019e-13 6.058864556898202896e+08
1.393939393939393812e-07 5.010101010101010835e-13 6.000670576965092421e+08
1.393939393939393812e-07 5.106060606060606640e-13 5.942476597031981945e+08
1.393939393939393812e-07 5.202020202020202446e-13 5.888961530058318377e+08
1.393939393939393812e-07 5.297979797979798252e-13 5.835446463084653616e+08
1.393939393939393812e-07 5.393939393939394057e-13 5.781931396110988855e+08
1.393939393939393812e-07 5.489898989898989863e-13 5.729439841347204447e+08
1.393939393939393812e-07 5.585858585858585669e-13 5.680311255273020267e+08
1.393939393939393812e-07 5.681818181818181474e-13 5.632644829498662949e+08
1.393939393939393812e-07 5.777777777777778290e-13 5.583954891514427662e+08
1.393939393939393812e-07 5.873737373737374096e-13 5.540090082519621849e+08
1.393939393939393812e-07 5.969696969696969901e-13 5.496663921614762545e+08
1.393939393939393812e-07 6.065656565656565707e-13 5.452799112619955540e+08
1.393939393939393812e-07 6.161616161616161513e-13 5.409372951715097427e+08
1.393939393939393812e-07 6.257575757575757318e-13 5.365508142720290422e+08
1.393939393939393812e-07 6.353535353535354134e-13 5.325883598594981432e+08
1.393939393939393812e-07 6.449494949494949939e-13 5.283480949900001287e+08
1.393939393939393812e-07 6.545454545454545745e-13 5.249120182854069471e+08
1.393939393939393812e-07 6.641414141414141551e-13 5.209495638728760481e+08
1.393939393939393812e-07 6.737373737373737357e-13 5.172356767113157511e+08
1.393939393939393812e-07 6.833333333333333162e-13 5.132732222987848520e+08
1.393939393939393812e-07 6.929292929292928968e-13 5.098371455941916704e+08
1.393939393939393812e-07 7.025252525252525783e-13 5.063133392716088891e+08
1.393939393939393812e-07 7.121212121212121589e-13 5.028187761550225616e+08
1.393939393939393812e-07 7.217171717171717395e-13 4.997774827313826084e+08
1.393939393939393812e-07 7.313131313131313200e-13 4.963414060267894268e+08
1.393939393939393812e-07 7.409090909090909006e-13 4.929053293221962452e+08
