# out of simlation
9.999999999999999547e-08 5.969696969696969901e-13 6.017678520826979377e-02
9.999999999999999547e-08 6.065656565656565707e-13 5.925979773646636306e-02
9.999999999999999547e-08 6.161616161616161513e-13 5.830936693422900108e-02
9.999999999999999547e-08 6.257575757575757318e-13 5.744798107918508423e-02
9.999999999999999547e-08 6.353535353535354134e-13 5.656786158927268326e-02
9.999999999999999547e-08 6.449494949494949939e-13 5.574666962318171326e-02
9.999999999999999547e-08 6.545454545454545745e-13 5.492020610339130166e-02
9.999999999999999547e-08 6.641414141414141551e-13 5.413276835173712331e-02
9.999999999999999547e-08 6.737373737373737357e-13 5.337025081243900598e-02
9.999999999999999547e-08 6.833333333333333162e-13 5.262023489165137263e-02
9.999999999999999547e-08 6.929292929292928968e-13 5.189391642690979745e-02
9.999999999999999547e-08 7.025252525252525783e-13 5.117643233603737241e-02
9.999999999999999547e-08 7.121212121212121589e-13 5.050309343506492049e-02
9.999999999999999547e-08 7.217171717171717395e-13 4.982651292110359259e-02
9.999999999999999547e-08 7.313131313131313200e-13 4.918373724866865332e-02
9.999999999999999547e-08 7.409090909090909006e-13 4.855262770403990374e-02
9.999999999999999547e-08 7.505050505050504812e-13 4.791873132349253744e-02
9.999999999999999547e-08 7.601010101010101627e-13 4.731787850204174917e-02
9.999999999999999547e-08 7.696969696969697433e-13 4.674895341677559601e-02
9.999999999999999547e-08 7.792929292929293239e-13 4.617421453574339918e-02
9.999999999999999547e-08 7.888888888888889044e-13 4.561594047677001301e-02
9.999999999999999547e-08 7.984848484848484850e-13 4.506575282278420941e-02
9.999999999999999547e-08 8.080808080808080656e-13 4.452296633143460608e-02
9.999999999999999547e-08 8.176767676767676461e-13 4.401505349807738332e-02
9.999999999999999547e-08 8.272727272727273277e-13 4.351128767940246750e-02
9.999999999999999547e-08 8.368686868686869083e-13 4.300594882960531024e-02
9.999999999999999547e-08 8.464646464646464888e-13 4.252674859729235757e-02
9.999999999999999547e-08 8.560606060606060694e-13 4.204261627931007994e-02
9.999999999999999547e-08 8.656565656565656500e-13 4.158340691251990323e-02
9.999999999999999547e-08 8.752525252525252305e-13 4.113218595312945897e-02
9.999999999999999547e-08 8.848484848484849121e-13 4.068933645589017933e-02
9.999999999999999547e-08 8.944444444444444926e-13 4.025485211744966180e-02
