# out of simlation
9.999999999999999547e-08 4.818181818181818213e-13 7.071433532964692681e-01
9.999999999999999547e-08 4.914141414141414019e-13 6.932638252235818754e-01
9.999999999999999547e-08 5.010101010101010835e-13 6.801746459047089965e-01
9.999999999999999547e-08 5.106060606060606640e-13 6.670811816658988036e-01
9.999999999999999547e-08 5.202020202020202446e-13 6.547885418244634437e-01
9.999999999999999547e-08 5.297979797979798252e-13 6.432409240299149511e-01
9.999999999999999547e-08 5.393939393939394057e-13 6.316211263526367858e-01
9.999999999999999547e-08 5.489898989898989863e-13 6.207055024751524375e-01
9.999999999999999547e-08 5.585858585858585669e-13 6.100776155348237584e-01
9.999999999999999547e-08 5.681818181818181474e-13 5.997472985213695429e-01
9.999999999999999547e-08 5.777777777777778290e-13 5.896740304572994917e-01
9.999999999999999547e-08 5.873737373737374096e-13 5.802371192525039856e-01
9.999999999999999547e-08 5.969696969696969901e-13 5.706829235621710961e-01
9.999999999999999547e-08 6.065656565656565707e-13 5.619603630376591719e-01
9.999999999999999547e-08 6.161616161616161513e-13 5.529363117500600833e-01
9.999999999999999547e-08 6.257575757575757318e-13 5.447448780980758132e-01
9.999999999999999547e-08 6.353535353535354134e-13 5.363873604316471422e-01
9.999999999999999547e-08 6.449494949494949939e-13 5.285807512558162724e-01
9.999999999999999547e-08 6.545454545454545745e-13 5.207341305974244605e-01
9.999999999999999547e-08 6.641414141414141551e-13 5.132539354623825156e-01
9.999999999999999547e-08 6.737373737373737357e-13 5.060101702162664861e-01
9.999999999999999547e-08 6.833333333333333162e-13 4.988882368423925295e-01
9.999999999999999547e-08 6.929292929292928968e-13 4.919909255088635858e-01
9.999999999999999547e-08 7.025252525252525783e-13 4.851799607456852570e-01
9.999999999999999547e-08 7.121212121212121589e-13 4.787838408160238202e-01
9.999999999999999547e-08 7.217171717171717395e-13 4.723616104251980308e-01
9.999999999999999547e-08 7.313131313131313200e-13 4.662573235378825176e-01
9.999999999999999547e-08 7.409090909090909006e-13 4.602649742395406585e-01
9.999999999999999547e-08 7.505050505050504812e-13 4.542506116277325035e-01
9.999999999999999547e-08 7.601010101010101627e-13 4.485467536797293486e-01
9.999999999999999547e-08 7.696969696969697433e-13 4.431415262957056345e-01
9.999999999999999547e-08 7.792929292929293239e-13 4.376876044106457475e-01
9.999999999999999547e-08 7.888888888888889044e-13 4.323886497690651587e-01
9.999999999999999547e-08 7.984848484848484850e-13 4.271686062481365731e-01
9.999999999999999547e-08 8.080808080808080656e-13 4.220192902133191315e-01
9.999999999999999547e-08 8.176767676767676461e-13 4.171968651772315351e-01
9.999999999999999547e-08 8.272727272727273277e-13 4.124141494078572556e-01
9.999999999999999547e-08 8.368686868686869083e-13 4.076222642275946217e-01
9.999999999999999547e-08 8.464646464646464888e-13 4.030738122008821200e-01
9.999999999999999547e-08 8.560606060606060694e-13 3.984822473597671166e-01
9.999999999999999547e-08 8.656565656565656500e-13 3.941244583519787348e-01
9.999999999999999547e-08 8.752525252525252305e-13 3.898429070313296774e-01
9.999999999999999547e-08 8.848484848484849121e-13 3.856412031537023721e-01
9.999999999999999547e-08 8.944444444444444926e-13 3.815192578579820748e-01
9.999999999999999547e-08 9.040404040404040732e-13 3.774737771653371987e-01
9.999999999999999547e-08 9.136363636363636538e-13 3.734987075455421524e-01
9.999999999999999547e-08 9.232323232323233353e-13 3.697151902668163737e-01
9.999999999999999547e-08 9.328282828282828149e-13 3.659001989689389944e-01
9.999999999999999547e-08 9.424242424242424965e-13 3.621338222123878792e-01
9.999999999999999547e-08 9.520202020202021780e-13 3.586001715085048169e-01
9.999999999999999547e-08 9.616161616161616576e-13 3.550000174294493105e-01
9.999999999999999547e-08 9.712121212121213392e-13 3.515537817009264931e-01
9.999999999999999547e-08 9.808080808080808187e-13 3.480983434604320026e-01
9.999999999999999547e-08 9.904040404040405003e-13 3.447773573365808808e-01
9.999999999999999547e-08 9.999999999999999799e-13 3.414461973859795885e-01

1.393939393939393812e-07 5.000000000000000152e-14 1.355130731253169074e+01
1.393939393939393812e-07 5.959595959595959471e-14 1.006071392146656507e+01
1.393939393939393812e-07 6.919191919191920052e-14 7.457174817894397734e+00
1.393939393939393812e-07 7.878787878787879371e-14 6.823634458890192711e+00
1.393939393939393812e-07 8.838383838383838691e-14 5.877261160572927245e+00
1.393939393939393812e-07 9.797979797979798010e-14 5.140976487861771638e+00
1.393939393939393812e-07 1.075757575757575859e-13 4.686283538323177567e+00
1.393939393939393812e-07 1.171717171717171791e-13 4.270991834541605137e+00
1.393939393939393812e-07 1.267676767676767849e-13 3.916465161976298681e+00
1.393939393939393812e-07 1.363636363636363655e-13 3.594176601628085610e+00
1.393939393939393812e-07 1.459595959595959461e-13 3.347036872940366781e+00
1.393939393939393812e-07 1.555555555555555771e-13 3.133025655164965340e+00
1.393939393939393812e-07 1.651515151515151577e-13 2.946140614122293222e+00
1.393939393939393812e-07 1.747474747474747382e-13 2.771825295800235622e+00
1.393939393939393812e-07 1.843434343434343693e-13 2.622143658754002793e+00
1.393939393939393812e-07 1.939393939393939499e-13 2.485861964947208680e+00
1.393939393939393812e-07 2.035353535353535304e-13 2.364185679880739244e+00
1.393939393939393812e-07 2.131313131313131615e-13 2.254452865561964447e+00
1.393939393939393812e-07 2.227272727272727421e-13 2.153204740661851968e+00
1.393939393939393812e-07 2.323232323232323226e-13 2.061842713240241043e+00
